Elapsed Time,Voltage,Adjusted SoC
9550.579,4.18816,103.116744
9560.579,4.18849,103.11674
9570.579,4.18816,103.11675
9580.579,4.18849,103.11676
9590.579,4.18849,103.116777
9600.579,4.18816,103.116785
9610.579,4.18849,103.116788
9620.579,4.18816,103.116775
9630.579,4.18816,103.116787
9640.579,4.18816,103.11679
9650.579,4.18816,103.116794
9660.579,4.18816,103.116789
9670.579,4.18816,103.116772
9680.579,4.18816,103.116771
9690.579,4.18816,103.116784
9700.579,4.18816,103.11679
9710.579,4.18816,103.116788
9720.579,4.18816,103.116785
9730.579,4.18784,103.116784
9740.579,4.18816,103.116785
9750.579,4.18784,103.116792
9760.579,4.18784,103.116798
9770.579,4.18784,103.116808
9780.579,4.18784,103.116808
9790.579,4.18816,103.11682
9800.579,4.18784,103.116823
9810.579,4.18784,103.116836
9820.579,4.18784,103.116823
9830.579,4.18784,103.116821
9840.579,4.18784,103.116815
9850.579,4.18751,103.116818
9860.579,4.18784,103.116806
9870.579,4.18784,103.116798
9880.579,4.18784,103.116791
9890.579,4.18784,103.116794
9900.579,4.18751,103.116803
9910.579,4.18784,103.116791
9920.579,4.18784,103.116796
9930.579,4.18784,103.116775
9940.579,4.18784,103.11676
9950.579,4.1707,103.107023
9960.579,4.16293,102.968111
9970.579,4.15808,102.829234
9980.579,4.15485,102.690339
9990.579,4.15226,102.551441
10000.579,4.15032,102.412552
10010.579,4.14838,102.273649
10020.579,4.14644,102.134766
10030.579,4.14482,101.995862
10040.579,4.1432,101.856954
10050.579,4.14159,101.718038
10060.579,4.13997,101.579154
10070.579,4.13868,101.440246
10080.579,4.13674,101.301333
10090.579,4.13577,101.162458
10100.579,4.13415,101.023549
10110.579,4.13285,100.884639
10120.579,4.13124,100.745761
10130.579,4.12994,100.606859
10140.579,4.12865,100.467993
10150.579,4.12703,100.329074
10160.579,4.12574,100.190199
10170.579,4.12444,100.051287
10180.579,4.12315,99.912409
10190.579,4.12186,99.773542
10200.579,4.12024,99.634632
10210.579,4.11927,99.495748
10220.579,4.11798,99.356873
10230.579,4.11636,99.217999
10240.579,4.11507,99.079104
10250.579,4.11377,98.940235
10260.579,4.11248,98.801347
10270.579,4.11151,98.662448
10280.579,4.11021,98.523563
10290.579,4.10892,98.384664
10300.579,4.1073,98.245807
10310.579,4.10601,98.106915
10320.579,4.10472,97.968014
10330.579,4.1031,97.829128
10340.579,4.1018,97.690245
10350.579,4.10116,97.551373
10360.579,4.09922,97.412472
10370.579,4.09825,97.273579
10380.579,4.09695,97.134684
10390.579,4.09566,96.995765
10400.579,4.09437,96.856896
10410.579,4.09275,96.717997
10420.579,4.09178,96.579102
10430.579,4.09048,96.440199
10440.579,4.08919,96.301316
10450.579,4.0879,96.162412
10460.579,4.0866,96.023524
10470.579,4.08563,95.884643
10480.579,4.08434,95.745767
10490.579,4.08272,95.606866
10500.579,4.08143,95.46795
10510.579,4.08046,95.329064
10520.579,4.07884,95.190159
10530.579,4.07755,95.051281
10540.579,4.07658,94.912381
10550.579,4.07528,94.773477
10560.579,4.07399,94.634603
