Elapsed time,C-rate,Voltage,Change in Ahr,SoC,Offset SoC
1.079,0.0013,3.30583,7.431176,-2.250359,-1.560789
2.179,0.0013,3.30583,7.431176,-2.250359,-1.560789
3.279,0.0011,3.30583,7.431176,-2.250359,-1.560789
4.379,0.001234,3.30583,7.431176,-2.250359,-1.560789
5.479,0.000966,3.30583,7.431176,-2.250359,-1.560789
6.579,0.001568,3.30551,7.431176,-2.250359,-1.560789
7.679,0.0007,3.30583,7.431176,-2.250359,-1.560789
8.779,0.001632,3.30583,7.431176,-2.250359,-1.560789
9.879,0.000968,3.30583,7.431176,-2.250359,-1.560789
10.979,0.0009,3.30583,7.431176,-2.250359,-1.560789
12.079,0.001168,3.30583,7.431176,-2.250359,-1.560789
13.179,0.000636,3.30583,7.431176,-2.250359,-1.560789
14.279,0.0013,3.30551,7.431176,-2.250359,-1.560789
15.379,0.001366,3.30583,7.431176,-2.250359,-1.560789
16.479,0.000373,3.30583,7.431176,-2.250356,-1.560786
17.579,0.501439,3.33817,7.43167,-2.241982,-1.552412
18.679,0.499576,3.344,7.432572,-2.226694,-1.537124
19.779,0.500242,3.34885,7.433474,-2.211414,-1.521844
20.879,0.500508,3.35338,7.434375,-2.19614,-1.50657
21.979,0.499247,3.35758,7.435276,-2.180857,-1.491287
23.079,0.499644,3.36114,7.436177,-2.165587,-1.476017
24.179,0.500241,3.36502,7.437079,-2.15031,-1.46074
25.279,0.49958,3.36858,7.43798,-2.135035,-1.445465
26.379,0.499775,3.37181,7.438882,-2.119751,-1.430181
27.479,0.501641,3.37505,7.439784,-2.104461,-1.414891
28.579,0.49991,3.37828,7.440686,-2.089178,-1.399608
29.679,0.499044,3.38119,7.441587,-2.073904,-1.384334
30.779,0.498978,3.38443,7.442487,-2.05864,-1.36907
31.879,0.500578,3.38701,7.443388,-2.043366,-1.353796
32.979,0.501375,3.38992,7.444291,-2.028071,-1.338501
34.079,0.49958,3.39283,7.445192,-2.012804,-1.323234
35.179,0.500042,3.39575,7.446093,-1.997527,-1.307957
36.279,0.499778,3.39833,7.446994,-1.98225,-1.29268
37.379,0.499908,3.40092,7.447896,-1.966975,-1.277405
38.479,0.500176,3.40351,7.448797,-1.95169,-1.26212
39.579,0.500512,3.40577,7.449699,-1.936411,-1.246841
40.679,0.500646,3.40836,7.4506,-1.921131,-1.231561
41.779,0.500308,3.41062,7.451501,-1.905857,-1.216287
42.879,0.499246,3.41321,7.452403,-1.89058,-1.20101
43.979,0.499446,3.4158,7.453304,-1.875314,-1.185744
45.079,0.50031,3.41774,7.454205,-1.860034,-1.170464
46.179,0.499976,3.42033,7.455106,-1.844765,-1.155195
47.279,0.500042,3.42259,7.456007,-1.829493,-1.139923
48.379,0.501507,3.42485,7.456908,-1.814227,-1.124657
49.479,0.500307,3.42712,7.457809,-1.798946,-1.109376
50.579,0.501241,3.42906,7.458711,-1.783662,-1.094092
51.679,0.499046,3.43132,7.459613,-1.768381,-1.078811
52.779,0.499775,3.43326,7.460514,-1.753107,-1.063537
53.879,0.500442,3.43553,7.461415,-1.737827,-1.048257
54.979,0.499976,3.43779,7.462316,-1.722557,-1.032987
56.079,0.500442,3.43941,7.463217,-1.707283,-1.017713
57.179,0.500775,3.44167,7.464119,-1.691999,-1.002429
58.279,0.500376,3.44361,7.465021,-1.676715,-0.987145
59.379,0.501303,3.44555,7.465922,-1.661445,-0.971875
60.479,0.500241,3.4475,7.466823,-1.646164,-0.956594
61.579,0.499907,3.44944,7.467725,-1.63089,-0.94132
62.679,0.501171,3.45138,7.468626,-1.615611,-0.926041
63.779,0.500578,3.45332,7.469527,-1.600336,-0.910766
64.879,0.500641,3.45526,7.470429,-1.58506,-0.89549
65.979,0.501173,3.4572,7.47133,-1.569774,-0.880204
67.079,0.500244,3.45914,7.472232,-1.554492,-0.864922
68.179,0.498708,3.46076,7.473133,-1.539215,-0.849645
69.279,0.498644,3.46237,7.474035,-1.52394,-0.83437
70.379,0.499375,3.46399,7.474936,-1.508665,-0.819095
71.479,0.499373,3.46593,7.475837,-1.493388,-0.803818
72.579,0.50011,3.46755,7.476739,-1.478109,-0.788539
73.679,0.499575,3.46981,7.47764,-1.462826,-0.773256
74.779,0.500242,3.47143,7.478542,-1.44755,-0.75798
75.879,0.499644,3.47305,7.479443,-1.432264,-0.742694
76.979,0.499907,3.47466,7.480345,-1.416982,-0.727412
78.079,0.499776,3.47628,7.481247,-1.401696,-0.712126
79.179,0.500241,3.47757,7.482148,-1.386421,-0.696851
80.279,0.500175,3.47952,7.48305,-1.371137,-0.681567
81.379,0.499839,3.48113,7.483951,-1.355858,-0.666288
82.479,0.500373,3.48275,7.484853,-1.340578,-0.651008
83.579,0.499439,3.48437,7.485754,-1.325307,-0.635737
84.679,0.498975,3.48631,7.486655,-1.310037,-0.620467
85.779,0.499376,3.4876,7.487556,-1.294768,-0.605198
86.879,0.500042,3.48922,7.488457,-1.279488,-0.589918
87.979,0.500105,3.49084,7.489359,-1.264198,-0.574628
89.079,0.499908,3.49245,7.490261,-1.248919,-0.559349
90.179,0.499442,3.49375,7.491162,-1.233642,-0.544072
91.279,0.500776,3.49536,7.492064,-1.218355,-0.528785
92.379,0.499707,3.49666,7.492965,-1.203078,-0.513508
93.479,0.500373,3.49827,7.493866,-1.187808,-0.498238
94.579,0.499975,3.49989,7.494767,-1.172535,-0.482965
95.679,0.499576,3.50151,7.495669,-1.157256,-0.467686
96.779,0.500373,3.5028,7.496571,-1.141971,-0.452401
97.879,0.500105,3.5041,7.497472,-1.126693,-0.437123
98.979,0.499775,3.50571,7.498374,-1.111415,-0.421845
100.079,0.499908,3.50701,7.499275,-1.096139,-0.406569
101.179,0.498707,3.5083,7.500175,-1.080878,-0.391308
102.279,0.499773,3.50992,7.501076,-1.065603,-0.376033
103.379,0.500039,3.51154,7.501978,-1.050315,-0.360745
104.479,0.500439,3.51251,7.50288,-1.035034,-0.345464
105.579,0.499705,3.51412,7.503781,-1.019767,-0.330197
106.679,0.500107,3.51542,7.504682,-1.004492,-0.314922
107.779,0.499641,3.51671,7.505583,-0.989213,-0.299643
108.879,0.499908,3.518,7.506484,-0.973941,-0.284371
109.979,0.50011,3.5193,7.507386,-0.958656,-0.269086
111.079,0.499308,3.52059,7.508288,-0.943373,-0.253803
112.179,0.499576,3.52221,7.50919,-0.928092,-0.238522
113.279,0.499773,3.5235,7.510091,-0.912815,-0.223245
114.379,0.499507,3.5248,7.510992,-0.897541,-0.207971
115.479,0.499705,3.52609,7.511894,-0.882261,-0.192691
116.579,0.500441,3.52738,7.512795,-0.866979,-0.177409
117.679,0.499173,3.52868,7.513697,-0.8517,-0.16213
118.779,0.500241,3.52997,7.514597,-0.836434,-0.146864
119.879,0.499178,3.53127,7.515499,-0.821147,-0.131577
120.979,0.499841,3.53256,7.516401,-0.805872,-0.116302
122.079,0.498978,3.53385,7.517302,-0.790586,-0.101016
123.179,0.499242,3.53515,7.518204,-0.775308,-0.085738
124.279,0.499771,3.53644,7.519105,-0.760028,-0.070458
125.379,0.498907,3.53741,7.520007,-0.744753,-0.055183
126.479,0.499707,3.5387,7.520908,-0.729479,-0.039909
127.579,0.499573,3.54,7.521809,-0.714209,-0.024639
128.679,0.499841,3.54129,7.52271,-0.698927,-0.009357
129.779,0.500371,3.54259,7.523612,-0.683643,0.005927
130.879,0.500505,3.54356,7.524513,-0.668369,0.021201
131.979,0.499108,3.54485,7.525415,-0.653091,0.036479
133.079,0.499375,3.54614,7.526316,-0.637814,0.051756
134.179,0.500441,3.54744,7.527217,-0.622543,0.067027
135.279,0.500905,3.54873,7.528119,-0.607259,0.082311
136.379,0.500773,3.5497,7.52902,-0.591992,0.097578
137.479,0.499439,3.55067,7.529922,-0.576704,0.112866
138.579,0.500507,3.55164,7.530823,-0.561416,0.128154
139.679,0.500173,3.55294,7.531725,-0.546134,0.143436
140.779,0.500307,3.55423,7.532627,-0.530854,0.158716
141.879,0.499508,3.55552,7.533528,-0.515575,0.173995
142.979,0.499907,3.55682,7.53443,-0.500291,0.189279
144.079,0.499975,3.55779,7.535331,-0.485011,0.204559
145.179,0.499839,3.55876,7.536233,-0.469738,0.219832
146.279,0.499907,3.56005,7.537134,-0.454459,0.235111
147.379,0.499907,3.56102,7.538035,-0.439186,0.250384
148.479,0.499705,3.56231,7.538936,-0.423909,0.265661
149.579,0.499175,3.56329,7.539838,-0.408634,0.280936
150.679,0.500769,3.56426,7.540739,-0.39336,0.29621
