Elapsed Time,Voltage,Adjusted SOC
8069.677,4.1956,100.027854
8079.677,4.1956,100.027848
8089.677,4.19528,100.027856
8099.677,4.19528,100.027862
8109.677,4.19495,100.027852
8119.677,4.19463,100.027855
8129.677,4.19495,100.027831
8139.677,4.19463,100.027825
8149.677,4.19463,100.027832
8159.677,4.19431,100.027859
8169.677,4.19431,100.02785
8179.677,4.19431,100.027854
8189.677,4.19431,100.027843
8199.677,4.19398,100.027856
8209.677,4.19366,100.027853
8219.677,4.19398,100.027867
8229.677,4.19366,100.027872
8239.677,4.19366,100.027871
8249.677,4.19334,100.027861
8259.677,4.19334,100.027847
8269.677,4.19334,100.02784
8279.677,4.19334,100.027845
8289.677,4.19334,100.027848
8299.677,4.19301,100.027844
8309.677,4.19301,100.027829
8319.677,4.19301,100.02783
8329.677,4.19301,100.027836
8339.677,4.19269,100.027848
8349.677,4.19269,100.027829
8359.677,4.19269,100.027831
8369.677,4.19237,100.027826
8379.677,4.19237,100.027835
8389.677,4.19237,100.027811
8399.677,4.19237,100.027819
8409.677,4.19204,100.027813
8419.677,4.19204,100.027806
8429.677,4.19204,100.027803
8439.677,4.19204,100.027817
8449.677,4.19204,100.02781
8459.677,4.19204,100.027823
8469.677,4.19172,100.027846
8479.677,4.19172,100.027854
8489.677,4.19172,100.027867
8499.677,4.19172,100.027853
8509.677,4.1914,100.027849
8519.677,4.19172,100.027871
8529.677,4.1914,100.027879
8539.677,4.1914,100.027876
8549.677,4.1914,100.027871
8559.677,4.1914,100.027883
8569.677,4.1914,100.027906
8579.677,4.1914,100.02792
8589.677,4.19107,100.027916
8599.677,4.19107,100.027917
8609.677,4.19107,100.027918
8619.677,4.19107,100.027918
8629.677,4.19107,100.027925
8639.677,4.19107,100.027904
8649.677,4.19107,100.027882
8659.677,4.19075,100.027881
8669.677,4.19107,100.027888
8679.677,4.19075,100.027888
8689.677,4.19075,100.027883
8699.677,4.19043,100.027889
8709.677,4.19043,100.027883
8719.677,4.19075,100.027885
8729.677,4.19043,100.027884
8739.677,4.19075,100.027887
8749.677,4.19043,100.027893
8759.677,4.19043,100.027874
8769.677,4.19043,100.027868
8779.677,4.19043,100.027872
8789.677,4.1901,100.027861
8799.677,4.19043,100.027859
8809.677,4.1901,100.027867
8819.677,4.1901,100.027868
8829.677,4.1901,100.027866
8839.677,4.1901,100.02786
8849.677,4.1901,100.027864
8859.677,4.19043,100.027868
8869.677,4.19043,100.027872
8879.677,4.18978,100.027846
8889.677,4.1901,100.027855
8899.677,4.18978,100.027862
8909.677,4.1901,100.027844
8919.677,4.1901,100.02785
8929.677,4.1901,100.027854
8939.677,4.18978,100.027841
8949.677,4.18978,100.027853
8959.677,4.1901,100.027862
8969.677,4.18978,100.027872
8979.677,4.18978,100.027861
8989.677,4.18978,100.027838
8999.677,4.18978,100.027828
9009.677,4.1901,100.027833
9019.677,4.18978,100.02783
9029.677,4.18946,100.027846
9039.677,4.18946,100.027847
9049.677,4.18946,100.027847
9059.677,4.18978,100.027838
9069.677,4.18946,100.027825
9079.677,4.18978,100.027821
9089.677,4.18946,100.027811
9099.677,4.18946,100.027803
9109.677,4.18946,100.027802
9119.677,4.18946,100.0278
9129.677,4.18946,100.027785
9139.677,4.18946,100.027782
9149.677,4.18946,100.027789
9159.677,4.18946,100.027796
9169.677,4.18946,100.027777
9179.677,4.18946,100.027756
9189.677,4.18913,100.027798
9199.677,4.18946,100.027789
9209.677,4.18913,100.027778
9219.677,4.18913,100.027796
9229.677,4.18913,100.027801
9239.677,4.18946,100.027799
9249.677,4.18946,100.027806
9259.677,4.18913,100.027811
9269.677,4.18913,100.027814
9279.677,4.18913,100.027798
9289.677,4.18913,100.027796
9299.677,4.18913,100.02781
9309.677,4.18913,100.027791
9319.677,4.18881,100.027805
9329.677,4.18913,100.027805
9339.677,4.18913,100.027801
9349.677,4.18881,100.027809
9359.677,4.18913,100.027801
9369.677,4.18881,100.027795
9379.677,4.18913,100.027792
9389.677,4.18881,100.027784
9399.677,4.18913,100.027808
9409.677,4.18881,100.027808
9419.677,4.18913,100.027816
9429.677,4.18881,100.027788
9439.677,4.18881,100.027783
9449.677,4.18881,100.027771
9459.677,4.18849,100.027794
9469.677,4.18881,100.027785
9479.677,4.18881,100.027793
9489.677,4.18881,100.027794
9499.677,4.18881,100.027786
9509.677,4.18881,100.02778
9519.677,4.18881,100.027773
9529.677,4.18881,100.027767
9539.677,4.18881,100.02777
9549.677,4.18849,100.027785
9559.677,4.18849,100.027776
9569.677,4.18849,100.027803
9579.677,4.18881,100.027781
9589.677,4.18849,100.027788
9599.677,4.18881,100.027795
9609.677,4.18849,100.02779
9619.677,4.18849,100.027806
9629.677,4.18849,100.027819
9639.677,4.18849,100.027805
9649.677,4.18849,100.027807
9659.677,4.18849,100.027789
9669.677,4.18849,100.0278
9679.677,4.18849,100.027808
9689.677,4.18849,100.027808
9699.677,4.18849,100.027796
9709.677,4.18849,100.027798
9719.677,4.18849,100.027792
9729.677,4.18849,100.027787
9739.677,4.18849,100.027764
9749.677,4.18849,100.027753
9759.677,4.18849,100.027772
9769.677,4.18849,100.027768
9779.677,4.18849,100.027766
9789.677,4.18849,100.027767
9799.677,3.85599,99.166611
9809.677,3.7567,96.388677
9819.677,3.70495,93.610999
9829.677,3.67358,90.833349
9839.677,3.65902,88.055414
9849.677,3.65255,85.277733
9859.677,3.64867,82.499828
9869.677,3.64447,79.722187
9879.677,3.63865,76.944269
9889.677,3.63056,74.166607
9899.677,3.6215,71.388952
9909.677,3.61245,68.611027
9919.677,3.60371,65.833359
9929.677,3.5953,63.055427
9939.677,3.58754,60.277759
9949.677,3.57978,57.499812
9959.677,3.57234,54.722175
9969.677,3.56458,51.944216
