Elapsed Time,C-rate,Voltage,Change in Ahr,SoC,Offset SoC
0.077,-0.000375,3.23338,7.401875,-2.746987,-1.516904
0.177,-0.000769,3.23306,7.401875,-2.746989,-1.516906
0.277,-0.000769,3.23306,7.401875,-2.746992,-1.516909
0.377,-0.000636,3.23338,7.401874,-2.746993,-1.51691
1.477,0.499837,3.26184,7.402203,-2.741433,-1.51135
2.577,0.499975,3.26993,7.403104,-2.726162,-1.496079
3.677,0.500107,3.2764,7.404005,-2.710878,-1.480795
4.777,0.500571,3.28222,7.404906,-2.695603,-1.46552
5.877,0.500173,3.28772,7.405808,-2.680322,-1.450239
6.977,0.499907,3.29225,7.406709,-2.66505,-1.434967
8.077,0.499639,3.29677,7.407611,-2.649763,-1.41968
9.177,0.499308,3.3013,7.408513,-2.634482,-1.404399
10.277,0.499973,3.30551,7.409414,-2.619203,-1.38912
11.377,0.499968,3.30971,7.410316,-2.60392,-1.373837
12.477,0.499042,3.31359,7.411217,-2.588645,-1.358562
13.577,0.500636,3.3178,7.412119,-2.573361,-1.343278
14.677,0.498973,3.32168,7.413019,-2.5581,-1.328017
15.777,0.500639,3.32524,7.413921,-2.542813,-1.31273
16.877,0.499971,3.32879,7.414822,-2.527538,-1.297455
17.977,0.500439,3.33203,7.415723,-2.512264,-1.282181
19.077,0.499773,3.33559,7.416625,-2.496984,-1.266901
20.177,0.499705,3.33882,7.417526,-2.481716,-1.251633
21.277,0.500103,3.34238,7.418427,-2.46644,-1.236357
22.377,0.499573,3.34561,7.419328,-2.451178,-1.221095
23.477,0.499236,3.34852,7.420229,-2.435901,-1.205818
24.577,0.500036,3.35176,7.421131,-2.420619,-1.190536
25.677,0.500307,3.35499,7.422032,-2.405336,-1.175253
26.777,0.500436,3.3579,7.422934,-2.390056,-1.159973
27.877,0.499439,3.36081,7.423835,-2.374776,-1.144693
28.977,0.500175,3.36373,7.424737,-2.359495,-1.129412
30.077,0.501036,3.36664,7.425638,-2.344214,-1.114131
31.177,0.501169,3.36922,7.426539,-2.328946,-1.098863
32.277,0.498439,3.37181,7.42744,-2.313682,-1.083599
