elapsedDistance,engineSpeed,torque,brakePosition
0.5,1827.142676,109.6928726,100.0
1.0,1844.089185,108.2524193,100.0
1.5,1860.844949,106.8281793,100.0
2.0,1877.415186,105.4197092,100.0
2.5,1893.80487,104.0265861,100.0
3.0,1910.018754,102.6484059,100.0
3.5,1926.061379,101.2847828,100.0
4.0,1941.937088,99.93534753,100.0
4.5,1957.650038,98.59974681,100.0
5.0,1973.204211,97.27764209,100.0
5.5,1988.603425,95.96870886,100.0
6.0,2003.851344,94.87945294,100.0
6.5,2018.951482,94.4068186,100.0
7.0,2033.90722,93.93870402,100.0
7.5,2048.721803,93.47500757,100.0
8.0,2063.398356,93.01563147,100.0
8.5,2077.939885,92.5604816,100.0
9.0,2065.887448,92.93772289,0.0
9.5,2062.769293,93.03532113,0.0
10.0,2060.643133,93.10186993,0.0
10.5,2058.897381,93.15651198,0.0
11.0,2057.416584,93.20286093,0.0
11.5,2056.138451,93.24286649,0.0
12.0,2055.022835,93.27778526,0.0
12.5,2054.041365,93.30850526,0.0
13.0,2053.172815,93.33569089,0.0
13.5,2052.400672,93.35985896,0.0
14.0,2051.711726,93.38142298,0.0
14.5,2051.095177,93.40072095,0.0
15.0,2050.542052,93.41803376,0.0
15.5,2050.044793,93.43359797,0.0
16.0,2049.596966,93.44761496,0.0
16.5,2049.193044,93.46025773,0.0
17.0,2048.828243,93.471676,0.0
17.5,2048.498398,93.48200014,0.0
18.0,2048.199861,93.49134435,0.0
18.5,2047.929423,93.49980907,0.0
19.0,2062.613314,93.04020328,0.0
19.5,2077.162023,92.58482869,0.0
20.0,2091.578451,92.13359449,0.0
20.5,2105.865395,91.68641315,0.0
21.0,2120.025549,91.2432003,0.0
21.5,2134.061516,90.80387454,0.0
22.0,2147.975805,90.3683573,0.0
22.5,2161.77084,89.93657271,0.0
23.0,2175.448963,89.50844746,0.0
23.5,2189.012438,89.08391069,0.0
24.0,2202.463455,88.66289387,0.0
24.5,2215.804131,88.24533069,0.0
25.0,2229.036519,87.83115697,0.0
25.5,2242.162602,87.42031055,0.0
26.0,2255.184306,87.01273122,0.0
26.5,2268.103495,86.6083606,0.0
27.0,2280.921977,86.20714211,0.0
27.5,2293.641506,85.80902085,0.0
28.0,2306.263784,85.41394355,0.0
28.5,2318.790463,85.02185852,0.0
29.0,2326.687939,84.77466752,0.0
29.5,2329.954008,84.67243954,0.0
30.0,2333.124322,84.57320873,0.0
30.5,2336.200608,84.47692096,0.0
31.0,2339.184599,84.38352204,0.0
31.5,2342.078027,84.29295775,0.0
32.0,2344.882626,84.2051738,0.0
32.5,2347.600131,84.12011589,0.0
33.0,2350.232278,84.0377297,0.0
33.5,2352.780801,83.95796093,0.0
34.0,2355.247435,83.88075528,0.0
34.5,2357.633914,83.8060585,0.0
35.0,2359.941967,83.73381642,0.0
35.5,2362.173325,83.66397493,0.0
36.0,2364.329711,83.59648006,0.0
36.5,2366.412845,83.53127795,0.0
37.0,2368.424443,83.46831492,0.0
37.5,2370.366214,83.4075375,0.0
38.0,2372.239859,83.34889242,0.0
38.5,2374.047071,83.29232667,0.0
39.0,2375.789535,83.23778756,0.0
39.5,2377.468923,83.1852227,0.0
40.0,2379.0869,83.13458004,0.0
40.5,2380.645114,83.08580795,0.0
41.0,2382.145201,83.03885521,0.0
41.5,2383.588783,82.99367108,0.0
42.0,2384.977467,82.95020528,0.0
42.5,2386.31284,82.9084081,0.0
43.0,2387.596474,82.86823037,0.0
43.5,2388.829919,82.82962352,0.0
44.0,2395.398115,82.62403899,0.0
44.5,2407.274239,82.25231633,0.0
45.0,2419.066776,81.88320993,0.0
45.5,2430.777001,81.51667987,0.0
46.0,2442.406156,81.15268731,0.0
46.5,2453.955451,80.79119439,0.0
