elapsedDistance,brakePosition,engineSpeed,torque
0.5,100.0,1827.142676,100.0
1.0,100.0,1844.089185,100.0
1.5,100.0,1860.844949,100.0
2.0,100.0,1877.415186,100.0
2.5,100.0,1893.80487,100.0
3.0,100.0,1910.018754,100.0
3.5,100.0,1926.061379,100.0
4.0,100.0,1941.937088,100.0
4.5,100.0,1957.650038,100.0
5.0,100.0,1973.204211,100.0
5.5,100.0,1988.603425,100.0
6.0,100.0,2003.851344,100.0
6.5,100.0,2018.951482,100.0
7.0,100.0,2033.90722,100.0
7.5,100.0,2048.721803,100.0
8.0,100.0,2063.398356,100.0
8.5,100.0,2077.939885,100.0
9.0,0.0,2065.887448,100.0
9.5,0.0,2062.769293,100.0
10.0,0.0,2060.643133,100.0
10.5,0.0,2058.897381,100.0
11.0,0.0,2057.416584,100.0
11.5,0.0,2056.138451,100.0
12.0,0.0,2055.022835,100.0
12.5,0.0,2054.041365,100.0
13.0,0.0,2053.172815,100.0
13.5,0.0,2052.400672,100.0
14.0,0.0,2051.711726,100.0
14.5,0.0,2051.095177,100.0
15.0,0.0,2050.542052,100.0
15.5,0.0,2050.044793,100.0
16.0,0.0,2049.596966,100.0
16.5,0.0,2049.193044,100.0
17.0,0.0,2048.828243,100.0
17.5,0.0,2048.498398,100.0
18.0,0.0,2048.199861,100.0
18.5,0.0,2047.929423,100.0
19.0,0.0,2062.613314,100.0
19.5,0.0,2077.162023,100.0
20.0,0.0,2091.578451,100.0
20.5,0.0,2105.865395,100.0
21.0,0.0,2120.025549,100.0
21.5,0.0,2134.061516,100.0
22.0,0.0,2147.975805,100.0
22.5,0.0,2161.77084,100.0
23.0,0.0,2175.448963,100.0
23.5,0.0,2189.012438,100.0
24.0,0.0,2202.463455,100.0
24.5,0.0,2215.804131,100.0
25.0,0.0,2229.036519,100.0
25.5,0.0,2242.162602,100.0
26.0,0.0,2255.184306,100.0
26.5,0.0,2268.103495,100.0
27.0,0.0,2280.921977,100.0
27.5,0.0,2293.641506,100.0
28.0,0.0,2306.263784,100.0
28.5,0.0,2318.790463,100.0
29.0,0.0,2326.687939,100.0
29.5,0.0,2329.954008,100.0
30.0,0.0,2333.124322,100.0
30.5,0.0,2336.200608,100.0
31.0,0.0,2339.184599,100.0
31.5,0.0,2342.078027,100.0
32.0,0.0,2344.882626,100.0
32.5,0.0,2347.600131,100.0
33.0,0.0,2350.232278,100.0
33.5,0.0,2352.780801,100.0
34.0,0.0,2355.247435,100.0
34.5,0.0,2357.633914,100.0
35.0,0.0,2359.941967,100.0
35.5,0.0,2362.173325,100.0
36.0,0.0,2364.329711,100.0
36.5,0.0,2366.412845,100.0
37.0,0.0,2368.424443,100.0
37.5,0.0,2370.366214,100.0
38.0,0.0,2372.239859,100.0
38.5,0.0,2374.047071,100.0
39.0,0.0,2375.789535,100.0
39.5,0.0,2377.468923,100.0
40.0,0.0,2379.0869,100.0
40.5,0.0,2380.645114,100.0
41.0,0.0,2382.145201,100.0
41.5,0.0,2383.588783,100.0
42.0,0.0,2384.977467,100.0
42.5,0.0,2386.31284,100.0
43.0,0.0,2387.596474,100.0
43.5,0.0,2388.829919,100.0
44.0,0.0,2395.398115,100.0
44.5,0.0,2407.274239,100.0
45.0,0.0,2419.066776,100.0
45.5,0.0,2430.777001,100.0
46.0,0.0,2442.406156,100.0
46.5,0.0,2453.955451,100.0
47.0,0.0,2465.426063,100.0
47.5,0.0,2476.819143,100.0
48.0,0.0,2488.135811,100.0
48.5,0.0,2499.377159,100.0
49.0,0.0,2510.544254,100.0
49.5,0.0,2521.638136,100.0
50.0,0.0,2532.659822,100.0
50.5,0.0,2543.610302,100.0
51.0,100.0,2543.966242,100.0
51.5,100.0,2510.202447,100.0
52.0,100.0,2476.049386,100.0
52.5,0.0,2456.898189,100.0
53.0,0.0,2454.051393,100.0
53.5,0.0,2451.639109,100.0
54.0,0.0,2449.512477,100.0
54.5,0.0,2447.604097,100.0
55.0,0.0,2445.873139,100.0
55.5,0.0,2444.291558,100.0
56.0,0.0,2442.838638,100.0
56.5,0.0,2441.498331,100.0
57.0,0.0,2440.257772,100.0
57.5,0.0,2439.10639,100.0
58.0,0.0,2438.035322,100.0
58.5,0.0,2437.037024,100.0
59.0,0.0,2436.104989,100.0
59.5,0.0,2435.233548,100.0
60.0,0.0,2434.417719,100.0
60.5,0.0,2433.653085,100.0
61.0,0.0,2432.93571,100.0
61.5,0.0,2432.262065,100.0
62.0,0.0,2431.62897,100.0
62.5,0.0,2431.033544,100.0
63.0,0.0,2430.473174,100.0
63.5,0.0,2429.945474,100.0
64.0,0.0,2429.448264,100.0
64.5,0.0,2428.979542,100.0
65.0,0.0,2428.53747,100.0
65.5,0.0,2428.120353,100.0
66.0,0.0,2427.726626,100.0
66.5,0.0,2427.35484,100.0
67.0,0.0,2439.007619,100.0
67.5,0.0,2450.580186,100.0
68.0,0.0,2462.073729,100.0
68.5,0.0,2473.489405,100.0
69.0,0.0,2484.828344,100.0
69.5,0.0,2496.091646,100.0
70.0,0.0,2507.280385,100.0
70.5,0.0,2518.39561,100.0
71.0,0.0,2529.438342,100.0
71.5,0.0,2540.409581,100.0
72.0,0.0,2551.310302,100.0
72.5,0.0,2562.141458,100.0
73.0,0.0,2572.903978,100.0
73.5,0.0,2583.598772,100.0
74.0,0.0,2594.22673,100.0
74.5,0.0,2604.788719,100.0
75.0,0.0,2615.285591,100.0
75.5,0.0,2625.718174,100.0
76.0,0.0,2636.087284,100.0
76.5,0.0,2646.393714,100.0
77.0,100.0,2633.749598,100.0
77.5,0.0,2615.429765,100.0
78.0,0.0,2612.413243,100.0
78.5,0.0,2609.809728,100.0
79.0,0.0,2607.480884,100.0
79.5,0.0,2605.364009,100.0
80.0,0.0,2603.42104,100.0
80.5,0.0,2601.625771,100.0
81.0,0.0,2599.958787,100.0
81.5,0.0,2598.405006,100.0
82.0,0.0,2596.952301,100.0
82.5,0.0,2595.590671,100.0
