Elapsed Time,Voltage,Offset SoC
8349.077,4.19301,100.013849
8359.077,4.19269,100.013853
8369.077,4.19269,100.013854
8379.077,4.19269,100.013858
8389.077,4.19269,100.013862
8399.077,4.19237,100.013872
8409.077,4.19237,100.013861
8419.077,4.19237,100.013863
8429.077,4.19237,100.013869
8439.077,4.19204,100.01387
8449.077,4.19204,100.013863
8459.077,4.19204,100.013863
8469.077,4.19204,100.013884
8479.077,4.19172,100.013898
8489.077,4.19204,100.013897
8499.077,4.19204,100.013905
8509.077,4.19172,100.013916
8519.077,4.19172,100.013918
8529.077,4.19172,100.013924
8539.077,4.19204,100.013897
8549.077,4.19172,100.013902
8559.077,4.19172,100.013888
8569.077,4.19172,100.013886
8579.077,4.1914,100.013877
8589.077,4.19172,100.013888
8599.077,4.19107,100.013894
8609.077,4.1914,100.013901
8619.077,4.1914,100.013906
8629.077,4.1914,100.013887
8639.077,4.1914,100.013887
8649.077,4.19107,100.013869
8659.077,4.1914,100.013869
8669.077,4.19107,100.013849
8679.077,4.19107,100.013841
8689.077,4.19107,100.01385
8699.077,4.19075,100.013839
8709.077,4.19107,100.013848
8719.077,4.19107,100.013833
8729.077,4.19075,100.013832
8739.077,4.19075,100.013827
8749.077,4.19075,100.013815
8759.077,4.19075,100.013808
8769.077,4.19075,100.013806
8779.077,4.19075,100.013825
8789.077,4.19075,100.013821
8799.077,4.19075,100.013818
8809.077,4.19075,100.013808
8819.077,4.19075,100.013814
8829.077,4.19075,100.013818
8839.077,4.19043,100.013835
8849.077,4.19043,100.013829
8859.077,4.19043,100.013836
8869.077,4.1901,100.013828
8879.077,4.19043,100.013825
8889.077,4.19043,100.013823
8899.077,4.19043,100.013822
8909.077,4.1901,100.013816
8919.077,4.19043,100.01383
8929.077,4.1901,100.013844
8939.077,4.19043,100.013839
8949.077,4.1901,100.013855
8959.077,4.1901,100.013849
8969.077,4.19043,100.013852
8979.077,4.19043,100.013829
8989.077,4.1901,100.01383
8999.077,4.1901,100.013831
9009.077,4.1901,100.013823
9019.077,4.1901,100.013831
9029.077,4.18978,100.013827
9039.077,4.1901,100.013814
9049.077,4.1901,100.0138
9059.077,4.1901,100.013806
9069.077,4.1901,100.013788
9079.077,4.18978,100.013782
9089.077,4.1901,100.013788
9099.077,4.18978,100.013782
9109.077,4.1901,100.013785
