Type,Section Length,Cumulative Length,Radius
Straight,639.158,639.158,0
Right,3.869,643.027,1526.259
Right,3.714,646.741,1004.294
Right,3.561,650.302,807.945
Right,3.411,653.713,741.315
Right,3.278,656.991,644.23
Right,3.147,660.138,480.802
Right,3.039,663.177,313.79
Right,2.936,666.113,191.037
Right,2.853,668.966,127.63
Right,2.758,671.724,91.244
Right,2.678,674.402,68.956
Right,2.592,676.994,55.665
Right,2.514,679.508,48.075
Right,2.428,681.936,42.916
Right,2.356,684.292,39.832
Right,2.283,686.575,35.909
Right,2.211,688.786,33.448
Right,2.136,690.922,31.217
Right,2.075,692.997,26.125
Right,2.031,695.028,24.579
Right,2.019,697.047,29.276
Right,2.003,699.05,25.24
Right,1.958,701.008,24.743
Right,1.917,702.925,26.941
Right,1.9,704.825,24.697
Right,1.908,706.733,23.202
Right,1.931,708.664,29.915
Right,1.964,710.628,41.385
Right,1.992,712.62,91.899
Left,2.014,714.634,165.372
Left,2.028,716.662,59.036
Left,2.025,718.687,34.263
Left,2.011,720.698,28.239
Left,1.989,722.687,25.683
Left,1.958,724.645,25.06
Left,1.925,726.57,23.462
Left,1.892,728.462,23.998
Left,1.864,730.326,22.848
Left,1.842,732.168,24.521
Left,1.825,733.993,22.634
Left,1.825,735.818,24.425
Left,1.833,737.651,22.995
Left,1.856,739.507,25.25
Left,1.878,741.385,24.619
Left,1.914,743.299,26.863
Left,1.958,745.257,26.776
Left,2.014,747.271,30.399
Left,2.058,749.329,34.276
Left,2.106,751.435,37.977
Left,2.172,753.607,40.083
Left,2.247,755.854,45.963
Left,2.319,758.173,57.727
Left,2.394,760.567,61.52
Left,2.503,763.07,74.247
Left,2.608,765.678,110.082
Left,2.697,768.375,154.498
Left,2.781,771.156,183.284
Left,2.872,774.028,233.596
Left,2.972,777,360.208
Left,3.061,780.061,502.731
Left,3.153,783.214,1125.836
Straight,3.242,786.456,0
Right,3.336,789.792,1890.866
Right,3.422,793.214,1193.844
Right,3.508,796.722,896.199
Right,3.592,800.314,939.28
Right,3.672,803.986,808.612
Right,3.744,807.73,752.233
Right,3.806,811.536,671.034
Right,3.867,815.403,564.47
Right,3.922,819.325,475.205
Right,3.989,823.314,450.539
Right,4.058,827.372,441.817
Right,4.122,831.494,455.838
Right,4.183,835.677,482.141
Right,4.244,839.921,496.331
Right,4.308,844.229,473.031
Right,4.367,848.596,431.935
Right,4.428,853.024,399.699
Right,4.489,857.513,366.793
Right,4.547,862.06,369.784
