Segment Length,Cumulative Length,Radius
196.148,196.148,0
8.918,205.066,1842.71
8.825,213.891,1301.332
8.713,222.604,979.536
8.641,231.245,792.896
8.57,239.815,712.982
8.503,248.318,669.965
8.427,256.745,634.953
8.351,265.096,623.552
8.279,273.375,646.967
8.226,281.601,669.61
8.167,289.768,660.182
8.118,297.886,645.985
8.06,305.946,591.285
8.015,313.961,532.45
7.966,321.927,472.192
7.917,329.844,423.14
7.872,337.716,389.967
7.828,345.544,374.007
7.783,353.327,350.84
7.738,361.065,333.555
7.707,368.772,329.064
7.662,376.434,328.832
7.609,384.043,312.235
7.573,391.616,306.067
7.542,399.158,305.141
7.51,406.668,299.462
7.475,414.143,293.558
7.461,421.604,300.244
7.47,429.074,304.183
7.488,436.562,302.407
7.483,444.045,298.883
7.475,451.52,289.088
7.461,458.981,274.136
7.457,466.438,280.585
7.452,473.89,288.828
7.448,481.338,289.961
7.457,488.795,293.669
7.461,496.256,305.087
7.461,503.717,303.455
7.466,511.183,294.374
7.461,518.644,292.506
7.452,526.096,294.845
7.452,533.548,291.805
7.443,540.991,291.106
7.43,548.421,288.57
7.443,555.864,297.234
7.461,563.325,295.553
7.483,570.808,302.046
7.501,578.309,310.053
7.501,585.81,315.164
7.506,593.316,319.046
7.519,600.835,321.975
7.537,608.372,318.176
7.551,615.923,314.131
7.564,623.487,318.694
7.573,631.06,319.447
7.586,638.646,318.838
7.591,646.237,333.723
7.604,653.841,336.817
7.622,661.463,340.348
7.631,669.094,343.119
7.653,676.747,349.169
7.662,684.409,349.985
7.667,692.076,363.135
7.685,699.761,385.879
7.694,707.455,413.269
7.698,715.153,454.191
7.707,722.86,513.117
7.725,730.585,568.496
7.734,738.319,648.617
7.738,746.057,744.396
7.756,753.813,851.707
7.774,761.587,993.645
7.778,769.365,1258.711
7.805,777.17,1634.288
63.055,840.225,0
7.944,848.169,1891.994
7.957,856.126,1265.592
7.966,864.092,898.476
7.98,872.072,676.128
7.993,880.065,556.638
8.015,888.08,496.147
8.024,896.104,462.237
8.029,904.133,443.992
8.006,912.139,441.523
7.962,920.101,430.785
7.908,928.009,400.943
7.85,935.859,383.027
7.805,943.664,371.874
