Section Length,Cumulative Length,Radius
9.92,9.92,9.39
9.94,19.86,0
15.32,35.18,13.24
8.08,43.26,0
14.53,57.79,13.3
10.52,68.31,0
12.98,81.29,15.07
11.78,93.07,0
10,103.07,23.56
63.85,166.92,0
18.74,185.66,31.72
26.59,212.25,21.5
18.13,230.38,0
25.64,256.02,22.09
20.28,276.3,0
18.34,294.64,22.23
14.41,309.05,20.43
10.71,319.76,11.57
11.77,331.53,15.09
29.13,360.66,20.63
10.25,370.91,10.21
78.13,449.04,0
10.04,459.08,7.44
16.01,475.09,11.78
16.68,491.77,0
7.21,498.98,9.13
6.61,505.59,4.05
6.68,512.27,0
14.26,526.53,12.32
7.29,533.82,3.92
9.05,542.87,29.42
20.96,563.83,0
32.25,596.08,33.4
22.99,619.07,17.72
17.05,636.12,15.49
12.19,648.31,5.52
95.71,744.02,0
4.28,748.3,6.38
8.89,757.19,7.09
9.5,766.69,7.92
7.5,774.19,8.7
10.67,784.86,36.5
31.55,816.41,0
5.2,821.61,3.71
31.33,852.94,14.33
7.22,860.16,0
4,864.16,6.58
5.99,870.15,20.92
29.12,899.27,0
4.91,904.18,8.51
10,914.18,8.13
9.8,923.98,8.49
9.09,933.07,7.79
5.22,938.29,0
9.72,948.01,8.45
8.69,956.7,0
12.37,969.07,10.03
7.28,976.35,0
12.91,989.26,8.2
3.65,992.91,0
9.96,1002.87,6.86
6.51,1009.38,0
7.13,1016.51,7.01
5.38,1021.89,4.79
17.79,1039.68,0
9.92,1049.6,9.39
9.94,1059.54,0
15.32,1074.86,13.24
8.08,1082.94,0
14.53,1097.47,13.3
10.52,1107.99,0
12.98,1120.97,15.07
11.78,1132.75,0
10,1142.75,23.56
63.85,1206.6,0
18.74,1225.34,31.72
26.59,1251.93,21.5
18.13,1270.06,0
25.64,1295.7,22.09
20.28,1315.98,0
18.34,1334.32,22.23
14.41,1348.73,20.43
10.71,1359.44,11.57
11.77,1371.21,15.09
29.13,1400.34,20.63
10.25,1410.59,10.21
78.13,1488.72,0
10.04,1498.76,7.44
16.01,1514.77,11.78
16.68,1531.45,0
7.21,1538.66,9.13
6.61,1545.27,4.05
6.68,1551.95,0
14.26,1566.21,12.32
7.29,1573.5,3.92
9.05,1582.55,29.42
20.96,1603.51,0
32.25,1635.76,33.4
22.99,1658.75,17.72
17.05,1675.8,15.49
12.19,1687.99,5.52
95.71,1783.7,0
4.28,1787.98,6.38
8.89,1796.87,7.09
9.5,1806.37,7.92
7.5,1813.87,8.7
10.67,1824.54,36.5
31.55,1856.09,0
5.2,1861.29,3.71
31.33,1892.62,14.33
7.22,1899.84,0
4,1903.84,6.58
5.99,1909.83,20.92
29.12,1938.95,0
4.91,1943.86,8.51
10,1953.86,8.13
9.8,1963.66,8.49
9.09,1972.75,7.79
5.22,1977.97,0
9.72,1987.69,8.45
8.69,1996.38,0
12.37,2008.75,10.03
7.28,2016.03,0
12.91,2028.94,8.2
3.65,2032.59,0
9.96,2042.55,6.86
6.51,2049.06,0
7.13,2056.19,7.01
5.38,2061.57,4.79
17.79,2079.36,0
9.92,2089.28,9.39
9.94,2099.22,0
15.32,2114.54,13.24
8.08,2122.62,0
14.53,2137.15,13.3
10.52,2147.67,0
12.98,2160.65,15.07
11.78,2172.43,0
10,2182.43,23.56
63.85,2246.28,0
18.74,2265.02,31.72
26.59,2291.61,21.5
18.13,2309.74,0
25.64,2335.38,22.09
20.28,2355.66,0
18.34,2374,22.23
14.41,2388.41,20.43
10.71,2399.12,11.57
11.77,2410.89,15.09
29.13,2440.02,20.63
10.25,2450.27,10.21
78.13,2528.4,0
10.04,2538.44,7.44
16.01,2554.45,11.78
16.68,2571.13,0
7.21,2578.34,9.13
6.61,2584.95,4.05
6.68,2591.63,0
14.26,2605.89,12.32
7.29,2613.18,3.92
9.05,2622.23,29.42
20.96,2643.19,0
32.25,2675.44,33.4
22.99,2698.43,17.72
17.05,2715.48,15.49
12.19,2727.67,5.52
95.71,2823.38,0
4.28,2827.66,6.38
8.89,2836.55,7.09
9.5,2846.05,7.92
7.5,2853.55,8.7
10.67,2864.22,36.5
31.55,2895.77,0
5.2,2900.97,3.71
31.33,2932.3,14.33
7.22,2939.52,0
4,2943.52,6.58
5.99,2949.51,20.92
29.12,2978.63,0
4.91,2983.54,8.51
10,2993.54,8.13
9.8,3003.34,8.49
9.09,3012.43,7.79
5.22,3017.65,0
9.72,3027.37,8.45
8.69,3036.06,0
12.37,3048.43,10.03
7.28,3055.71,0
12.91,3068.62,8.2
3.65,3072.27,0
9.96,3082.23,6.86
6.51,3088.74,0
7.13,3095.87,7.01
5.38,3101.25,4.79
17.79,3119.04,0
9.92,3128.96,9.39
9.94,3138.9,0
15.32,3154.22,13.24
8.08,3162.3,0
14.53,3176.83,13.3
10.52,3187.35,0
12.98,3200.33,15.07
11.78,3212.11,0
10,3222.11,23.56
63.85,3285.96,0
18.74,3304.7,31.72
26.59,3331.29,21.5
18.13,3349.42,0
25.64,3375.06,22.09
20.28,3395.34,0
18.34,3413.68,22.23
14.41,3428.09,20.43
10.71,3438.8,11.57
11.77,3450.57,15.09
29.13,3479.7,20.63
10.25,3489.95,10.21
78.13,3568.08,0
10.04,3578.12,7.44
16.01,3594.13,11.78
16.68,3610.81,0
7.21,3618.02,9.13
6.61,3624.63,4.05
6.68,3631.31,0
14.26,3645.57,12.32
7.29,3652.86,3.92
9.05,3661.91,29.42
20.96,3682.87,0
32.25,3715.12,33.4
22.99,3738.11,17.72
17.05,3755.16,15.49
12.19,3767.35,5.52
95.71,3863.06,0
4.28,3867.34,6.38
8.89,3876.23,7.09
9.5,3885.73,7.92
7.5,3893.23,8.7
10.67,3903.9,36.5
31.55,3935.45,0
5.2,3940.65,3.71
31.33,3971.98,14.33
7.22,3979.2,0
4,3983.2,6.58
5.99,3989.19,20.92
29.12,4018.31,0
4.91,4023.22,8.51
10,4033.22,8.13
9.8,4043.02,8.49
9.09,4052.11,7.79
5.22,4057.33,0
9.72,4067.05,8.45
8.69,4075.74,0
12.37,4088.11,10.03
