Section Length,Cumulative Length,Radius
141.39,141.39,0
15.447,156.837,1985.618
29.192,186.029,0
13.857,199.886,1449.88
12.939,212.825,1264.128
11.001,223.826,850.86
8.564,232.39,36.073
7.024,239.414,15.25
6.597,246.011,22.267
6.324,252.335,17.291
7.206,259.541,18.505
8.424,267.965,23.892
10,277.965,57.51
11.864,289.829,78.834
13.281,303.11,69.889
14.782,317.892,158.251
16.375,334.267,400.489
17.626,351.893,1362.181
18.899,370.792,822.768
20.118,390.91,657.49
21.156,412.066,712.853
21.994,434.06,1153.509
22.951,457.011,0
23.875,480.886,1066.157
24.756,505.642,476.876
25.519,531.161,442.57
26.168,557.329,502.18
26.801,584.13,413.104
27.404,611.534,368.488
27.999,639.533,480.665
178.76,818.293,0
29.661,847.954,1784.719
29.113,877.067,928.981
28.49,905.557,335.666
27.775,933.332,513.143
27.032,960.364,782.025
26.119,986.483,173.318
24.925,1011.408,114.882
24.333,1035.741,242.889
24.283,1060.024,277.966
24.365,1084.389,350.313
24.722,1109.111,1993.682
25.096,1134.207,177.716
25.413,1159.62,251.261
25.971,1185.591,725.644
26.528,1212.119,896.691
26.989,1239.108,948.892
27.369,1266.477,1715.943
27.774,1294.251,0
28.161,1322.412,1456.591
28.532,1350.944,1152.554
28.893,1379.837,1215.682
29.249,1409.086,979.832
29.59,1438.676,674.891
29.913,1468.589,565.636
30.21,1498.799,869.442
30.494,1529.293,881.788
30.775,1560.068,1394.143
655.429,2215.497,0
14.596,2230.093,417.624
14.042,2244.135,66.278
13.46,2257.595,57.263
13.51,2271.105,62.171
14.313,2285.418,63.663
14.947,2300.365,88.018
15.647,2316.012,364.347
15.904,2331.916,80.324
16.06,2347.976,79.489
16.858,2364.834,76.897
17.314,2382.148,109.624
17.606,2399.754,110.186
18.078,2417.832,105.925
17.733,2435.565,175.65
16.585,2452.15,108.991
15.979,2468.129,68.54
15.4,2483.529,68.778
15.861,2499.39,98.256
16.517,2515.907,77.731
17.254,2533.161,105.281
18.183,2551.344,174.857
19.106,2570.45,148.54
20.113,2590.563,442.195
21.203,2611.766,964.768
22.075,2633.841,1540.291
166.918,2800.759,0
17.49,2818.249,712.765
15.201,2833.45,130.503
14.315,2847.765,49.384
13.872,2861.637,46.734
13.736,2875.373,49.159
14.228,2889.601,51.267
14.653,2904.254,51.256
15.086,2919.34,54.047
15.524,2934.864,56.052
15.692,2950.556,53.661
15.793,2966.349,56.848
16.192,2982.541,63.291
16.957,2999.498,100.293
17.846,3017.344,117.517
19.036,3036.38,803.026
19.525,3055.905,658.66
17.557,3073.462,553.685
16.263,3089.725,153.832
15.903,3105.628,92.816
15.542,3121.17,72.793
15.758,3136.928,70.315
16.4,3153.328,75.373
17.326,3170.654,88.19
18.381,3189.035,111.996
